id,request_id,video_id,percent_watched,completed_at,last_event_at,metadata,created_at,updated_at
4e2490ed-5377-4bd0-b1d8-485996903394,6d647847-89ec-4d58-9b43-b877338b62d6,jhx3bbqb9a,100.00,2026-07-05 18:08:13.373+00,2026-07-05 18:08:38.743+00,{},2026-07-05 16:15:43.515905+00,2026-07-05 18:08:38.750921+00
925dda35-4ecc-4fcb-9310-6b3bca3170e8,855df99f-da95-4678-bde2-2714f3fb5fc6,jhx3bbqb9a,100.00,2026-07-21 08:12:07.671+00,2026-07-21 12:57:16.369+00,{},2026-07-21 08:05:15.696262+00,2026-07-21 12:57:16.381127+00
a96117a1-9ed9-4d85-ae04-5655599ddb83,01b4607a-7271-4957-93a7-5a28591a254a,jhx3bbqb9a,60.00,,2026-07-05 18:01:49.665+00,{},2026-07-05 17:56:49.211121+00,2026-07-05 18:01:49.671986+00
b08fb554-de4a-47bd-ac66-10aa82627966,544268dc-940e-4e09-9173-6e47a32cffb3,jhx3bbqb9a,100.00,2026-07-16 10:33:33.573+00,2026-07-16 11:03:54.763+00,{},2026-07-16 10:26:30.028862+00,2026-07-16 11:03:54.780677+00
3f50d22f-5781-4347-b961-faddd85874d2,68679de7-aa6f-4685-aed2-316acf31d74a,jhx3bbqb9a,100.00,2026-07-07 14:59:45.526+00,2026-07-07 14:59:45.526+00,{},2026-07-07 14:36:15.478599+00,2026-07-07 14:59:45.540869+00
76d5aad8-f78d-47b3-a5e3-577c84e7f4cf,626886b2-0c11-451f-a4d4-3c73b99a9560,jhx3bbqb9a,100.00,2026-07-06 22:10:32.807+00,2026-07-06 22:50:18.273+00,{},2026-07-06 15:05:06.556233+00,2026-07-06 22:50:18.27843+00
e97025fc-4864-49ef-8c33-9c2424bf6250,7a5c5192-c0ab-413e-b3c7-381bc28f5ca6,jhx3bbqb9a,100.00,2026-07-12 06:15:53.165+00,2026-07-12 06:16:18.631+00,{},2026-07-12 06:09:01.056221+00,2026-07-12 06:16:18.638488+00
465f6b75-9dc9-493d-b15f-7b7c45ccccfe,5d8e3539-8db1-46d4-9ad8-b473d667ecb8,jhx3bbqb9a,100.00,2026-07-05 20:13:59.427+00,2026-07-05 20:31:55.336+00,{},2026-07-05 20:03:47.91219+00,2026-07-05 20:31:55.351163+00
643f1705-4483-4c28-8dc1-334682d54bf5,0a11cfa6-2131-4a6a-8ef5-5d9f650458c3,jhx3bbqb9a,100.00,2026-07-16 10:30:51.231+00,2026-07-16 10:31:02.278+00,{},2026-07-16 10:19:56.877135+00,2026-07-16 10:31:02.284721+00
434f26c8-3907-4edb-a011-b108afbbc91f,c77e1821-d5f6-4fff-b94e-67eb973e1eb3,jhx3bbqb9a,98.00,2026-07-20 13:49:56.901+00,2026-07-20 14:13:28.552+00,{},2026-07-20 13:42:38.061502+00,2026-07-20 14:13:28.575594+00
