bucket_id,name,owner,created_at,metadata
signed-code-of-conduct,36142976-ef27-4689-9ef1-f3ba9b4ad6f4/signed-receipt.html,,2026-07-22 14:21:10.42516+00,"{""eTag"": ""\""3360e717fd20c8db210bb685cb7a8b75\"""", ""size"": 17558, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-22T14:21:11.000Z"", ""contentLength"": 17558, ""httpStatusCode"": 200}"
signed-code-of-conduct,3a4f95e7-9d35-4ede-9c2e-e7f5547f59a2/signed-code-of-conduct.pdf,,2026-06-07 15:32:29.270417+00,"{""eTag"": ""\""db0f6acdabc0e76da7f93a52a5eb2b30\"""", ""size"": 457633, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-07T15:32:30.000Z"", ""contentLength"": 457633, ""httpStatusCode"": 200}"
signed-code-of-conduct,3a4f95e7-9d35-4ede-9c2e-e7f5547f59a2/signed-receipt.html,,2026-06-07 15:32:29.496347+00,"{""eTag"": ""\""d9d0b58abc1f1b07af262726cbcfda68\"""", ""size"": 54690, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-07T15:32:30.000Z"", ""contentLength"": 54690, ""httpStatusCode"": 200}"
signed-code-of-conduct,3d3b682d-a8d8-4d66-be10-843f86904342/signed-code-of-conduct.pdf,,2026-06-11 16:05:46.548893+00,"{""eTag"": ""\""2dcbb69b526586f193e599660b75a32d\"""", ""size"": 440309, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-11T16:05:47.000Z"", ""contentLength"": 440309, ""httpStatusCode"": 200}"
signed-code-of-conduct,3d3b682d-a8d8-4d66-be10-843f86904342/signed-receipt.html,,2026-06-11 16:05:46.734594+00,"{""eTag"": ""\""0a5a2811b2c06a27622cffb292b3d26a\"""", ""size"": 18089, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-06-11T16:05:47.000Z"", ""contentLength"": 18089, ""httpStatusCode"": 200}"
signed-code-of-conduct,3e2e77d8-a29d-4332-aaff-ca5aa037c242/signed-code-of-conduct.pdf,,2026-07-14 05:50:52.530951+00,"{""eTag"": ""\""e099553de95d0c9112539dd3be75c878\"""", ""size"": 445248, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-14T05:50:53.000Z"", ""contentLength"": 445248, ""httpStatusCode"": 200}"
signed-code-of-conduct,3e2e77d8-a29d-4332-aaff-ca5aa037c242/signed-receipt.html,,2026-07-14 05:50:52.747453+00,"{""eTag"": ""\""bb02322403702b9a8b772f7569a3b978\"""", ""size"": 27939, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-14T05:50:53.000Z"", ""contentLength"": 27939, ""httpStatusCode"": 200}"
signed-code-of-conduct,41a8afc7-3a60-4fbd-a781-1b0653df5023/signed-code-of-conduct.pdf,,2026-07-09 11:11:20.199544+00,"{""eTag"": ""\""79703b7d2388f23549758d8536388ecd\"""", ""size"": 441679, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-09T11:11:21.000Z"", ""contentLength"": 441679, ""httpStatusCode"": 200}"
signed-code-of-conduct,41a8afc7-3a60-4fbd-a781-1b0653df5023/signed-receipt.html,,2026-07-09 11:11:20.363355+00,"{""eTag"": ""\""d3734f208744495371767e7170d502cc\"""", ""size"": 26013, ""mimetype"": ""text/html"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-09T11:11:21.000Z"", ""contentLength"": 26013, ""httpStatusCode"": 200}"
signed-code-of-conduct,515da1ee-4ae2-4749-8ef8-d5b40b75f56d/signed-code-of-conduct.pdf,,2026-07-22 07:34:51.59607+00,"{""eTag"": ""\""0e17f571a775bc83fe7a4e076aa43256\"""", ""size"": 447099, ""mimetype"": ""application/pdf"", ""cacheControl"": ""max-age=3600"", ""lastModified"": ""2026-07-22T07:34:52.000Z"", ""contentLength"": 447099, ""httpStatusCode"": 200}"
